Date,Open,High,Low,Close,Volume
2022-01-03 00:00:00-05:00,323.7400307283668,326.29828058631676,318.3628596847403,323.1607971191406,28865100
2022-01-04 00:00:00-05:00,323.2379929252775,323.5952080741863,314.82954604404773,317.6195068359375,32674300
2022-01-05 00:00:00-05:00,314.57856765657084,314.78131857507753,305.0406424002805,305.4267883300781,40054300
2022-01-06 00:00:00-05:00,302.3086594012885,307.66653462982407,300.70612549908634,303.0133972167969,39646100
2022-01-07 00:00:00-05:00,303.2739021914228,305.5425494460259,299.35446457752903,303.167724609375,32720000
2022-01-10 00:00:00-05:00,298.77531830555176,303.824264140596,294.14150808241357,303.38983154296875,44289500
2022-01-11 00:00:00-05:00,302.5306735629834,305.6488309169334,299.16150807736625,304.0752868652344,29386800
2022-01-12 00:00:00-05:00,308.60289772987363,312.2134078663537,306.10253873709456,307.2513427734375,34372200
2022-01-13 00:00:00-05:00,309.3752235502706,309.77103274969136,293.47541923124135,294.2477111816406,45366000
2022-01-14 00:00:00-05:00,293.7167042364733,300.0592544355826,293.2340145006697,299.4607238769531,39846400
2022-01-18 00:00:00-05:00,293.5430630666038,299.0746708463716,291.29371147954976,292.1722106933594,42333200
2022-01-19 00:00:00-05:00,295.6860659770476,303.0422523236715,292.2203574511124,292.8285217285156,45933900
2022-01-20 00:00:00-05:00,298.36983291707537,300.86049892883005,290.71438096885566,291.158447265625,35380700
2022-01-21 00:00:00-05:00,292.2107112599279,293.58153359567393,285.37580818130317,285.7812805175781,57984400
2022-01-24 00:00:00-05:00,282.0838512555884,286.82383782749025,266.49295154897675,286.1094665527344,85731500
2022-01-25 00:00:00-05:00,281.4273871708722,284.77725480885573,275.2972516566814,278.5022888183594,72848600
2022-01-26 00:00:00-05:00,297.32712872481153,297.8194815416011,282.88506422232155,286.4376525878906,90428900
2022-01-27 00:00:00-05:00,292.18178912511314,296.6611350858043,287.6155330759337,289.45941162109375,53481300
2022-01-28 00:00:00-05:00,289.8359242315118,297.8003058303216,284.2560313928482,297.5879211425781,49743700
2022-01-31 00:00:00-05:00,298.254025795733,301.5652706042171,295.76333004152133,300.2137451171875,46444500
2022-02-01 00:00:00-05:00,299.66348813934843,299.87587283189384,294.56628497930495,298.07061767578125,40950400
2022-02-02 00:00:00-05:00,298.9104284628024,304.21035194352163,298.1863939124947,302.6078186035156,36636000
2022-02-03 00:00:00-05:00,298.7752424556932,300.45502254049995,289.57517852557834,290.8205261230469,43730000
2022-02-04 00:00:00-05:00,289.816570444543,298.10917678556535,289.5848887928777,295.34820556640625,35096500
2022-02-07 00:00:00-05:00,295.57025756283554,297.1824248464775,289.5173091795903,290.5309753417969,28533300
2022-02-08 00:00:00-05:00,290.8205269091974,294.98130951821844,289.56554554844485,294.01593017578125,32421200
2022-02-09 00:00:00-05:00,299.1421250545375,301.1308043619736,296.7480028768317,300.43572998046875,31284700
2022-02-10 00:00:00-05:00,293.51394069905155,298.4180547485802,290.28957726166584,291.9114074707031,45386200
2022-02-11 00:00:00-05:00,292.6933981582962,293.755321446796,284.03394330282464,284.8255615234375,39175600
2022-02-14 00:00:00-05:00,283.59952937825824,286.48603416022104,281.26332745127445,284.7869567871094,36359500
2022-02-15 00:00:00-05:00,289.62349961792046,290.3861281751453,286.7369950149994,290.06756591796875,27058300
2022-02-16 00:00:00-05:00,288.6358951130052,291.0543344654578,284.0989005260468,289.7290344238281,29982100
2022-02-17 00:00:00-05:00,286.69144809406896,287.1170957635478,280.53895281663284,281.2451477050781,32461600
2022-02-18 00:00:00-05:00,283.4894271936835,284.2729991216109,276.9693246500047,278.5364685058594,34264000
2022-02-22 00:00:00-05:00,275.70205013593005,282.02869492098785,275.21836232867406,278.33331298828125,41736100
2022-02-23 00:00:00-05:00,280.71306989618563,282.18349983515145,270.9619359564501,271.1263732910156,37811200
2022-02-24 00:00:00-05:00,263.6195175824751,285.530567636646,262.66179572392394,284.9791564941406,56989700
