Date,Open,High,Low,Close,Volume
2022-01-03 00:00:00-05:00,210.62785575629843,215.02399878785323,210.1340057138269,214.41395568847656,7694500
2022-01-04 00:00:00-05:00,214.9659150653547,219.60413709197832,214.78193286408646,215.41134643554688,10629300
2022-01-05 00:00:00-05:00,215.58564784648743,218.13232098722997,212.95182990309866,213.029296875,9594600
2022-01-06 00:00:00-05:00,210.89903518329223,214.87881090037476,210.6569564043342,212.78724670410156,7877500
2022-01-07 00:00:00-05:00,210.42454899795604,213.2229790057939,208.80746457719448,210.0856475830078,10702100
2022-01-10 00:00:00-05:00,207.20006170094712,207.41309220573322,199.95706886416647,205.25375366210938,11978600
2022-01-11 00:00:00-05:00,204.7211680090657,208.13931898544945,202.1260907429915,207.58738708496094,8803100
2022-01-12 00:00:00-05:00,207.68420600113927,210.68598854045447,207.03543669625552,208.875244140625,6923300
2022-01-13 00:00:00-05:00,209.97913296544968,213.4941066914,207.85852055643187,208.187744140625,8867700
2022-01-14 00:00:00-05:00,207.38403704443476,211.33476430832235,206.93862038581952,207.86819458007812,8838100
2022-01-18 00:00:00-05:00,209.03985592467177,210.03721923557075,207.53896465501415,208.875244140625,9099300
2022-01-19 00:00:00-05:00,206.25113673291318,211.31542107053392,205.38933679954891,207.87789916992188,9399800
2022-01-20 00:00:00-05:00,207.9166061866231,212.64198830119201,207.161321638844,207.55833435058594,8532700
2022-01-21 00:00:00-05:00,208.63316135314162,208.76872486534668,199.29860512259424,199.4051055908203,16200200
2022-01-24 00:00:00-05:00,195.77392243182473,196.29682081354338,189.45082657264126,195.4543914794922,16054000
2022-01-25 00:00:00-05:00,193.2950604269281,198.872565000318,190.74840169667732,195.5996551513672,12125500
2022-01-26 00:00:00-05:00,197.80739799152312,204.1789128180265,197.2167252177424,199.34701538085938,10817600
2022-01-27 00:00:00-05:00,202.86201024762983,204.27575677245147,199.32766609854917,199.61814880371094,12009800
2022-01-28 00:00:00-05:00,213.64903371502837,220.89202620869239,209.25288985472113,220.7758331298828,26425300
2022-01-31 00:00:00-05:00,218.4034793069085,219.20718263335826,215.01437637083467,219.0038299560547,12380600
2022-02-01 00:00:00-05:00,219.71067410612054,227.1763894786793,219.24588702942376,224.9976806640625,12247200
2022-02-02 00:00:00-05:00,223.97125566717287,228.3770917387082,222.72212108085435,227.96070861816406,10590500
2022-02-03 00:00:00-05:00,225.6561316253728,226.0918852159515,223.24503661910012,224.2036590576172,9968000
2022-02-04 00:00:00-05:00,221.26000341266672,222.92550658974577,217.8224818050216,221.1534881591797,10848100
2022-02-07 00:00:00-05:00,220.77584452317896,222.63500775665202,218.84889214002519,219.96246337890625,5984500
2022-02-08 00:00:00-05:00,219.09093560070943,221.25996641111732,217.62878534310116,220.71771240234375,7542000
2022-02-09 00:00:00-05:00,222.83832698960805,225.7626275373629,222.8286343837848,223.55487060546875,7772800
2022-02-10 00:00:00-05:00,221.16411190357329,223.0262997392285,218.09925461600702,218.79757690429688,6794600
2022-02-11 00:00:00-05:00,220.40761517740506,222.20191851443266,216.80931492615917,217.92469787597656,7535200
2022-02-14 00:00:00-05:00,216.56683632465032,220.4173026707661,216.10129304332077,218.55511474609375,8280800
2022-02-15 00:00:00-05:00,220.42702173382287,222.3861899207735,218.13807952389467,220.96046447753906,9461700
2022-02-16 00:00:00-05:00,220.650065937812,222.95840982495437,218.80728009807257,221.93032836914062,9561300
2022-02-17 00:00:00-05:00,221.52296991979597,221.9206285508624,217.42033751457274,217.8470916748047,8131200
