,Stock,Type,Start Date,End Date,Seed,Open (RMSE),High (RMSE),Low (RMSE),Close (RMSE),Volume (RMSE),Open (MAE),High (MAE),Low (MAE),Close (MAE),Volume (MAE),Open (MAPE),High (MAPE),Low (MAPE),Close (MAPE),Volume (MAPE),Open (SDAPE),High (SDAPE),Low (SDAPE),Close (SDAPE),Volume (SDAPE)
0,^GSPTSE,GRU,2022-01-01,2024-01-01,1,200.34946696184585,231.408537648991,241.92709525986976,253.7919056154499,88711410.48331046,161.90625,186.35338541666667,201.636328125,195.8482421875,58894056.266666666,0.791824351421835,0.9058466227207324,0.9889208989725858,0.9551155636078628,33.564824343608166,0.5755343214722933,0.6638881979420476,0.6530117173515615,0.7846064590058264,57.10816978684727
1,^GSPTSE,GRU,2022-01-01,2024-01-01,2,184.1634053356072,160.83648552739075,149.0036731740849,213.5715629630616,89997813.55657986,164.50078125,138.54479166666667,127.12819010416666,189.20748697916667,59155810.13333333,0.8064225201295041,0.6779789086405352,0.6262758540269001,0.9270088991412956,35.13917329318751,0.40608509753714,0.4009823966462304,0.3820778872813862,0.4854880503260931,63.16177875225316
2,^GSPTSE,GRU,2022-01-01,2024-01-01,3,124.05245614726796,158.7921180541844,140.70858512602103,179.62911602057096,87734111.21233027,97.4671875,136.00846354166666,117.90852864583331,160.79329427083334,52919299.73333333,0.4794314734052004,0.665072658486991,0.580498636454744,0.7882153922492119,30.21871476235306,0.3777163550598403,0.3999331523464849,0.3758305246004237,0.3913938689897114,57.54690006279367
3,^GSPTSE,GRU,2022-01-01,2024-01-01,4,124.08247733110171,159.28457406861244,175.1569297306825,182.00102669492665,89691320.31916182,91.009375,118.54733072916666,132.24329427083333,137.13450520833334,59871339.73333333,0.4469873609159693,0.5776330382902294,0.649711407320302,0.6707828245045117,34.975235413641244,0.4128059392082157,0.5148789976680428,0.5626378102204062,0.5820234378170778,61.25835691994404
4,^GSPTSE,GRU,2022-01-01,2024-01-01,5,136.39068111727784,153.20121051427944,136.50104868419646,179.487768219748,88240239.3486845,102.9564453125,111.44459635416666,99.3427734375,133.2181640625,55547854.66666666,0.5035269574407536,0.5422274285138725,0.488628097005291,0.6508985445973747,31.70333142747325,0.4363817151743308,0.5082411910925501,0.4588395196509424,0.5845665448128778,57.64601162575005
5,^GSPTSE,GRU,2022-01-01,2024-01-01,6,128.39551907055818,141.38109663666395,180.8750232453102,168.89941814315608,93583613.76020804,94.13587239583332,109.53177083333334,141.33157552083333,131.64908854166666,68141769.33333333,0.4610459295965991,0.5338801980323946,0.6932254636281251,0.6437550950865284,40.43735195792858,0.4264568391014142,0.4319152566246801,0.5507620694721665,0.5132987529150553,65.61131482317846
6,^GSPTSE,GRU,2022-01-01,2024-01-01,7,126.5438114859138,172.87229614717722,176.39886479513456,204.6430377032824,88588728.86745133,93.38125,123.77838541666668,133.85345052083332,154.43548177083332,56552572.8,0.4578790426914166,0.6029138342327631,0.6573545106734605,0.7546592596198684,31.6301621802134,0.4175669555074504,0.5857520718489007,0.5622292581162973,0.6530984782835684,55.22774025820441
7,^GSPTSE,GRU,2022-01-01,2024-01-01,8,163.14671151068504,170.21552196336785,183.1475854049201,201.20534628381347,88958825.52660105,147.02805989583334,149.6025390625,162.37630208333334,169.73828125,58119176.53333333,0.7204927493227954,0.7308205462610475,0.7979463605810746,0.8311253843645363,34.687356869897016,0.3450569216168093,0.3950984921310959,0.4129021108005392,0.5261827842959945,63.06457821160109
8,^GSPTSE,GRU,2022-01-01,2024-01-01,9,150.5984174047451,181.23317647443872,215.1776853543716,223.95134020647995,90473566.28148767,111.82194010416669,134.22825520833334,181.24479166666663,163.09329427083333,61839204.266666666,0.5477226951821808,0.6527783498970865,0.8903557640340929,0.7963254070264436,36.68531656935168,0.4931576908106573,0.5900254197856165,0.5675599268286454,0.7456479819034707,63.86205887003727
9,^GSPTSE,GRU,2022-01-01,2024-01-01,10,111.8592533013398,136.30940740412905,120.81899222427842,168.3727976525886,87594448.44771986,82.130859375,110.216015625,97.3953125,142.46184895833332,56006057.6,0.4024960586101365,0.5379300396717956,0.4796245403547015,0.6974199235658596,32.911099077545366,0.3712261937681337,0.3882833464912658,0.3504474793915434,0.4365729320037424,60.34681406302516
